2022-05-05 02:35:14.3378 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:6
2022-05-05 02:35:14.3378 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Successfully retrieved the Author with id:6
2022-05-05 02:35:15.6613 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:6
2022-05-05 02:35:15.6613 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Successfully retrieved the Author with id:6
2022-05-05 02:35:17.2755 | INFO | BookStore.Infrastructure.Data.LoggerService | Author update attempted - id: 6
2022-05-05 02:35:17.3357 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:35:17.3415 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:35:30.5862 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get Authors with search parameter of: ACCV
2022-05-05 02:35:30.5891 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully returned Authors with search parameter of: ACCV
2022-05-05 04:07:16.7855 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 04:07:16.8881 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 04:07:33.7392 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - CreateAuthor: Attempting to submit a single record
2022-05-05 04:07:33.8788 | INFO | BookStore.Infrastructure.Data.LoggerService | Successfully submitted an Author object as: BookStore.Core.Entities.Author
2022-05-05 04:07:33.9355 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 04:07:33.9355 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 04:07:49.7399 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:1
2022-05-05 04:07:49.7399 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Successfully retrieved the Author with id:1
2022-05-05 10:11:14.0882 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 10:11:14.1326 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 14:07:58.4126 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 14:07:58.4508 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 20:38:33.9160 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get all Resturant records...
2022-05-05 20:38:33.9648 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully got all Resturant records
2022-05-05 20:40:56.0081 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 20:40:56.0129 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 20:42:09.9524 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 20:42:09.9524 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 20:42:12.1201 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 20:42:12.1201 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 20:42:37.8422 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 20:42:37.8422 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 20:44:29.6513 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: abc
2022-05-05 20:44:29.8221 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: abc
2022-05-05 20:45:21.9194 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:45:21.9605 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:45:28.0077 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:45:28.0457 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:45:45.8634 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:45:45.9056 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:45:49.2371 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:45:49.2757 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:46:32.8289 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:46:32.8648 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:46:40.2917 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:46:40.3282 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:46:42.9754 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:46:43.0129 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:46:43.5924 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:46:43.6306 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:46:44.1280 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:46:44.1646 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:46:44.6042 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:46:44.6432 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:46:45.2068 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Attempting to get Resturants with search parameter of: ccc
2022-05-05 20:46:45.2440 | INFO | BookStore.Infrastructure.Data.LoggerService | Resturant - GetResturants: Successfully returned Resturants with search parameter of: ccc
2022-05-05 20:47:03.4432 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get Authors with search parameter of: abcd
2022-05-05 20:47:03.4669 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully returned Authors with search parameter of: abcd
2022-05-05 20:47:05.3512 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get Authors with search parameter of: abcd
2022-05-05 20:47:05.3512 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully returned Authors with search parameter of: abcd
